max_depth,min_impurity_decrease,accuracy,precision,recall,f1
4,0.01,0.7384615384615385,0.7570093457943925,0.7641509433962265,0.7605633802816901
5,0.01,0.7384615384615385,0.7722772277227723,0.7358490566037735,0.7536231884057971
6,0.01,0.7384615384615385,0.7391304347826086,0.8018867924528302,0.7692307692307693
7,0.01,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
8,0.01,0.7282051282051282,0.7226890756302521,0.8113207547169812,0.7644444444444445
9,0.01,0.7333333333333333,0.7368421052631579,0.7924528301886793,0.7636363636363637
10,0.01,0.7538461538461538,0.75,0.8207547169811321,0.7837837837837838
1,0.015,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
2,0.015,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
3,0.015,0.7076923076923077,0.810126582278481,0.6037735849056604,0.6918918918918919
4,0.015,0.7384615384615385,0.7570093457943925,0.7641509433962265,0.7605633802816901
5,0.015,0.7384615384615385,0.7722772277227723,0.7358490566037735,0.7536231884057971
6,0.015,0.7384615384615385,0.7391304347826086,0.8018867924528302,0.7692307692307693
7,0.015,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
8,0.015,0.7384615384615385,0.7350427350427351,0.8113207547169812,0.7713004484304933
9,0.015,0.7435897435897436,0.75,0.7924528301886793,0.7706422018348624
10,0.015,0.7589743589743589,0.7610619469026548,0.8113207547169812,0.7853881278538812
1,0.02,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
2,0.02,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
3,0.02,0.7076923076923077,0.810126582278481,0.6037735849056604,0.6918918918918919
4,0.02,0.7384615384615385,0.7570093457943925,0.7641509433962265,0.7605633802816901
5,0.02,0.7384615384615385,0.7722772277227723,0.7358490566037735,0.7536231884057971
6,0.02,0.7384615384615385,0.7391304347826086,0.8018867924528302,0.7692307692307693
7,0.02,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
8,0.02,0.7384615384615385,0.7350427350427351,0.8113207547169812,0.7713004484304933
9,0.02,0.7435897435897436,0.75,0.7924528301886793,0.7706422018348624
10,0.02,0.7589743589743589,0.7610619469026548,0.8113207547169812,0.7853881278538812
1,0.025,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
2,0.025,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
3,0.025,0.7076923076923077,0.810126582278481,0.6037735849056604,0.6918918918918919
4,0.025,0.7384615384615385,0.7570093457943925,0.7641509433962265,0.7605633802816901
5,0.025,0.7384615384615385,0.7722772277227723,0.7358490566037735,0.7536231884057971
6,0.025,0.7333333333333333,0.77,0.7264150943396226,0.7475728155339806
7,0.025,0.7282051282051282,0.797752808988764,0.6698113207547169,0.7282051282051282
8,0.025,0.7487179487179487,0.8,0.7169811320754716,0.7562189054726368
9,0.025,0.7538461538461538,0.8222222222222222,0.6981132075471698,0.7551020408163265
10,0.025,0.7538461538461538,0.8085106382978723,0.7169811320754716,0.76
1,0.03,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
2,0.03,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
3,0.03,0.7076923076923077,0.810126582278481,0.6037735849056604,0.6918918918918919
4,0.03,0.7435897435897436,0.7641509433962265,0.7641509433962265,0.7641509433962265
5,0.03,0.7435897435897436,0.78,0.7358490566037735,0.7572815533980582
6,0.03,0.7384615384615385,0.7777777777777778,0.7264150943396226,0.751219512195122
7,0.03,0.7333333333333333,0.8068181818181818,0.6698113207547169,0.7319587628865979
8,0.03,0.7538461538461538,0.8085106382978723,0.7169811320754716,0.76
9,0.03,0.7589743589743589,0.8314606741573034,0.6981132075471698,0.7589743589743589
10,0.03,0.7589743589743589,0.8172043010752689,0.7169811320754716,0.7638190954773869
1,0.04,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
2,0.04,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
3,0.04,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
4,0.04,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
5,0.04,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
6,0.04,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
7,0.04,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
8,0.04,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
9,0.04,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
10,0.04,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
1,0.05,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
2,0.05,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
3,0.05,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
4,0.05,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
5,0.05,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
6,0.05,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
7,0.05,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
8,0.05,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
9,0.05,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
10,0.05,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
